רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	אנגלית	יחידה (2)	אנגלית	פירוט (3)	אנגלית															
	שמות	יח	א	שמות	יח	יב	בהר סיני		יתרו		הגעת יתרו ומשפחתו	Yitro and Family Arrive															
	שמות	יח	יג	שמות	יח	כז	בהר סיני		יתרו		עצת יתרו	Yitro's Counsel															
	שמות	יט	א	שמות	כ	יח	בהר סיני		מעמד הר סיני	Ma'amad Har Sinai																	
	שמות	יט	א	שמות	יט	טו	בהר סיני		מעמד הר סיני		ההכנות למעמד הר סיני	Preparations for Ma'amad Har Sinai															
	שמות	יט	טז	שמות	יט	כה	בהר סיני		מעמד הר סיני		התגלות ה' על הר סיני	The Revelation on Har Sinai															
	שמות	כ	א	שמות	כ	יד	בהר סיני		מעמד הר סיני		עשרת הדברות	The Ten Commandments															
	שמות	כ	טו	שמות	כ	יח	בהר סיני		מעמד הר סיני		תגובת העם להתגלות ה'	The Nation Reacts to God's Revelation															
	שמות	כ	יט	שמות	כ	כג	בהר סיני		המצוות המשלימות את הדברות	Addendum to the Ten Commandments																	
	שמות	כ	יט	שמות	כ	כ	בהר סיני		המצוות המשלימות את הדברות		איסור עשיית אלהי כסף וזהב	The Prohibition to Make Gods of Gold and Silver															
	שמות	כ	כא	שמות	כ	כג	בהר סיני		המצוות המשלימות את הדברות		דיני המזבח	Laws of the Altar															
	שמות	כא	א	שמות	כג	לג	בהר סיני		משפטים ומצוות	Laws and Commandments																	
	שמות	כא	א	שמות	כא	יא	בהר סיני		משפטים ומצוות		עבד עברי ואמה	Laws of the Hebrew Slave and Maidservant															
	שמות	כא	יב	שמות	כא	יד	בהר סיני		משפטים ומצוות		דיני רוצח	Laws Pertaining to Murder															
	שמות	כא	טו	שמות	כא	יז	בהר סיני		משפטים ומצוות		חייבי מיתה	Crimes Punishable by Death															
	שמות	כא	יח	שמות	כא	כז	בהר סיני		משפטים ומצוות		דיני חובלים	Laws Regarding Personal Injury															
	שמות	כא	כח	שמות	כב	יד	בהר סיני		משפטים ומצוות		דיני נזקי ממון	Laws of Property Damage															
	שמות	כב	טו	שמות	כב	טז	בהר סיני		משפטים ומצוות		דין המפתה	The Law of the Seducer															
	שמות	כב	יז	שמות	כב	יט	בהר סיני		משפטים ומצוות		חייבי מיתה	Crimes Punishable by Death															
	שמות	כב	כ	שמות	כב	כג	בהר סיני		משפטים ומצוות		"גר, יתום ואלמנה"	"Stranger, Widow, and Orphan"															
	שמות	כב	כד	שמות	כב	כו	בהר סיני		משפטים ומצוות		דיני המלווה והחובל	The laws of Borrowing and Lending															
	שמות	כב	כז	שמות	כג	ט	בהר סיני		משפטים ומצוות		לקט מצוות	Collection of Commandments															
	שמות	כג	י	שמות	כג	יב	בהר סיני		משפטים ומצוות		השמיטה והשבת	Shabbat and the Shmitta															
	שמות	כג	יג	שמות	כג	יג	בהר סיני		משפטים ומצוות		לקט מצוות																
	שמות	כג	יד	שמות	כג	יט	בהר סיני		משפטים ומצוות		שלש רגלים	Shalosh Regalim - The Three Pilgrimage Festivals															
	שמות	כג	כ	שמות	כג	לג	בהר סיני		משפטים ומצוות		מצוות והבטחות לקראת הנסיעה לארץ ישראל	Commandments and Promises in Preparation for the Journey to Canaan															
	שמות	כד	א	שמות	כד	יח	בהר סיני		כריתת הברית בסיני	Sealing the Covenant																	
	שמות	כד	א	שמות	כד	יא	בהר סיני		כריתת הברית בסיני		כריתת הברית	Sealing the Covenant															
	שמות	כד	יב	שמות	כד	יח	בהר סיני		כריתת הברית בסיני		עליית משה להר סיני	Moshe Ascends Mount Sinai															
	שמות	כה	א	שמות	מ	לח	פרשיות המשכן	The Mishkan																			
	שמות	כה	א	שמות	לא	יז	פרשיות המשכן		ציווי על המשכן	The Command to Build the Mishkan																	
	שמות	כה	א	שמות	כה	ט	פרשיות המשכן		ציווי על המשכן		התרומה למלאכת המשכן	Donations for the Mishkan															
	שמות	כה	י	שמות	כה	מ	פרשיות המשכן		ציווי על המשכן		"ציווי על הארון, השולחן והמנורה"	"The Ark, the Table, and the Menorah"															
	שמות	כו	א	שמות	כו	ל	פרשיות המשכן		ציווי על המשכן		ציווי על היריעות והקרשים	The Sheets and the Planks															
	שמות	כו	לא	שמות	כו	לז	פרשיות המשכן		ציווי על המשכן		ציווי על הפרוכת והמסך	The Parokhet and Masakh (Curtain and Cover)															
	שמות	כז	א	שמות	כז	ח	פרשיות המשכן		ציווי על המשכן		ציווי על מזבח הנחושת	The Copper Altar															
	שמות	כז	ט	שמות	כז	יט	פרשיות המשכן		ציווי על המשכן		ציווי על חצר המשכן	The Courtyard															
	שמות	כז	כ	שמות	כז	כא	פרשיות המשכן		ציווי על המשכן		ציווי על השמן למאור	Oil for the Menorah															
	שמות	כח	א	שמות	כח	מג	פרשיות המשכן		ציווי על המשכן		ציווי על בגדי הכהונה	The Priestly Garments															
	שמות	כט	א	שמות	כט	לז	פרשיות המשכן		ציווי על המשכן		קידוש הכהנים וקרבנות המילואים	Sanctification of the Kohanim and the Miluim Sacrifices															
	שמות	כט	לח	שמות	כט	מו	פרשיות המשכן		ציווי על המשכן		ציווי על עולת התמיד	The Daily Burnt Offering															
	שמות	ל	א	שמות	ל	י	פרשיות המשכן		ציווי על המשכן		ציווי על מזבח הקטורת	The Altar of Incense															
	שמות	ל	יא	שמות	ל	טז	פרשיות המשכן		ציווי על המשכן		ציווי על מחצית השקל	The Half Shekel															
	שמות	ל	יז	שמות	ל	כא	פרשיות המשכן		ציווי על המשכן		ציווי על הכיור וכנו	The Copper Washbasin and Base															
	שמות	ל	כב	שמות	ל	לח	פרשיות המשכן		ציווי על המשכן		ציווי על שמן המשחה והקטורת	Anointing Oil and Incense															
	שמות	לא	א	שמות	לא	יא	פרשיות המשכן		ציווי על המשכן		מינוי בצלאל ואהליאב	The Appointment of Bezalel and Oholiav;															
	שמות	לא	יב	שמות	לא	יז	פרשיות המשכן		ציווי על המשכן		ציווי על השבת	Shabbat															
	שמות	לא	יח	שמות	לד	לה	פרשיות המשכן		חטא העגל ותוצאותיו	The Golden Calf																	
	שמות	לא	יח	שמות	לא	יח	פרשיות המשכן		חטא העגל ותוצאותיו		מתן הלוחות למשה	Moshe Receives the Stone Tablets															
	שמות	לב	א	שמות	לב	ו	פרשיות המשכן		חטא העגל ותוצאותיו		חטא העגל	The Golden Calf															
	שמות	לב	ז	שמות	לב	יד	פרשיות המשכן		חטא העגל ותוצאותיו		חרון אף ה' ותפילת משה	God's Wrath and Moshe's Prayer															
	שמות	לב	טו	שמות	לב	יט	פרשיות המשכן		חטא העגל ותוצאותיו		ירידת משה ושבירת הלוחות	Moshe Descends and Breaks the Tablets															
	שמות	לב	כ	שמות	לב	כט	פרשיות המשכן		חטא העגל ותוצאותיו		שריפת העגל והענשת החוטאים	The Golden Calf is Burnt and the Worshippers are Punished															
	שמות	לב	ל	שמות	לב	לה	פרשיות המשכן		חטא העגל ותוצאותיו		תפילת משה ותגובת ה'	Moshe's Prayer and God's Response															
	שמות	לג	א	שמות	לג	ו	פרשיות המשכן		חטא העגל ותוצאותיו		הגזרה על סילוק השכינה	God Decides to Stop Guiding the Nation Directly															
	שמות	לג	ז	שמות	לג	יא	פרשיות המשכן		חטא העגל ותוצאותיו		הרחקת אוהל מועד מהמחנה	Distancing the Tent of Meeting from the Camp	God Decides that will Stop Guiding the Nation Directly														
	שמות	לג	יב	שמות	לג	כג	פרשיות המשכן		חטא העגל ותוצאותיו		בקשת משה לראיית כבוד ה'	"Moshe Asks to ""Know God's Ways"""															
	שמות	לד	א	שמות	לד	ד	פרשיות המשכן		חטא העגל ותוצאותיו		עליית משה להר בשנית	Moshe Ascends Mount Sinai Again															
	שמות	לד	ה	שמות	לד	י	פרשיות המשכן		חטא העגל ותוצאותיו		"י""ג מידות"	The Thirteen Divine Attributes															
	שמות	לד	יא	שמות	לד	כו	פרשיות המשכן		חטא העגל ותוצאותיו		מצוות בעקבות חידוש הברית	Review of Commandments - Renewing the Covenant															
	שמות	לד	כז	שמות	לד	כח	פרשיות המשכן		חטא העגל ותוצאותיו		כתיבת דברי הברית	The Details of the Covenant are Written															
	שמות	לד	כט	שמות	לד	לה	פרשיות המשכן		חטא העגל ותוצאותיו		ירידת משה עם הלוחות	Moshe Descends with the Tablets															
	שמות	לה	א	שמות	מ	לח	פרשיות המשכן		עשיית המשכן והקמתו	Creating and Assembling the Mishkan																	
	שמות	לה	א	שמות	לה	ג	פרשיות המשכן		עשיית המשכן והקמתו		ציווי על השבת	Shabbat															
	שמות	לה	ד	שמות	לה	כט	פרשיות המשכן		עשיית המשכן והקמתו		התרומה למשכן	Donating to the Mishkan															
	שמות	לה	ל	שמות	לו	ז	פרשיות המשכן		עשיית המשכן והקמתו		מינוי האמנים לעשיית המשכן	Appointing Artists to Design the Mishkan															
	שמות	לו	ח	שמות	לו	לח	פרשיות המשכן		עשיית המשכן והקמתו		מבנה המשכן	The Structure of the Mishhkan															
	שמות	לז	א	שמות	לח	ח	פרשיות המשכן		עשיית המשכן והקמתו		כלי המשכן	The Sacred Vessels															
	שמות	לח	ט	שמות	לח	כ	פרשיות המשכן		עשיית המשכן והקמתו		החצר	The Courtyard															
	שמות	לח	כא	שמות	לט	א	פרשיות המשכן		עשיית המשכן והקמתו		פקודי המשכן	Materials for the Mishkan															
	שמות	לט	ב	שמות	לט	לא	פרשיות המשכן		עשיית המשכן והקמתו		בגדי הכהונה	The Priestly Garments															
	שמות	לט	לב	שמות	לט	מג	פרשיות המשכן		עשיית המשכן והקמתו		מסירת המשכן וכליו למשה	The Structure of the Mishkan is Presented to Moshe															
	שמות	מ	א	שמות	מ	לג	פרשיות המשכן		עשיית המשכן והקמתו		הקמת המשכן	The Mishkan is Assembled															
	שמות	מ	לד	שמות	מ	לח	פרשיות המשכן		עשיית המשכן והקמתו		השראת השכינה	The Divine Presence enters the Mishkan															
																											
																											
																											
																											
																											
																											
																											
