רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	יחידה (2)	פירוט (3)																	
	מלכים א	טו	ט	מלכים א	טו	כד	מפילוג הממלכה עד אחאב	מלכות אסא (יהודה)																		
	מלכים א	טו	כה	מלכים א	טו	לב	מפילוג הממלכה עד אחאב	מלכות נדב (ישראל)																		
	מלכים א	טו	לג	מלכים א	טז	ז	מפילוג הממלכה עד אחאב	מלכות בעשא (ישראל)																		
	מלכים א	טז	ח	מלכים א	טז	יד	מפילוג הממלכה עד אחאב	מלכות אלה (ישראל)																		
	מלכים א	טז	טו	מלכים א	טז	כ	מפילוג הממלכה עד אחאב	מלכות זמרי (ישראל)																		
	מלכים א	טז	כא	מלכים א	טז	כב	מפילוג הממלכה עד אחאב	מאבק בין עמרי לתבני (ישראל)																		
	מלכים א	טז	כג	מלכים א	טז	כח	הממלכה המפולגת	מלכות עמרי (ישראל)																		
	מלכים א	טז	כט	מלכים א	כב	נד	פרקי אליהו																			
	מלכים א	טז	כט	מלכים א			פרקי אליהו	מלכות אחאב (ישראל)																		
	מלכים א	טז	כט	מלכים א	טז	לד	פרקי אליהו	מלכות אחאב (ישראל)	חטאות אחאב																	
	מלכים א	יז	א	מלכים א	יז	ז	פרקי אליהו	מלכות אחאב (ישראל)	גזירת הבצורת של אליהו																	
	מלכים א	יז	ח	מלכים א	יז	כד	פרקי אליהו	מלכות אחאב (ישראל)	אליהו בצרפת																	
	מלכים א	יח	א	מלכים א	יח	מו	פרקי אליהו	מלכות אחאב (ישראל)	אליהו בהר הכרמל																	
	מלכים א	יט	א	מלכים א	יט	כא	פרקי אליהו	מלכות אחאב (ישראל)	אליהו בהר חורב																	
	מלכים א	כ	א	מלכים א	כ	כב	פרקי אליהו	מלכות אחאב (ישראל)	מצור ארם על שומרון																	
	מלכים א	כ	כג	מלכים א	כ	לד	פרקי אליהו	מלכות אחאב (ישראל)	מלחמת ארם וישראל באפק																	
	מלכים א	כ	לה	מלכים א	כ	מג	פרקי אליהו	מלכות אחאב (ישראל)	תוכחת הנביא למלך ישראל																	
	מלכים א	כא	א	מלכים א	כא	כט	פרקי אליהו	מלכות אחאב (ישראל)	כרם נבות																	
	מלכים א	כב	א	מלכים א	כב	מ	פרקי אליהו	מלכות אחאב (ישראל)	מלחמת רמות גלעד																	
	מלכים א	כב	מא	מלכים א	כב	נא	פרקי אליהו	מלכות יהושפט (יהודה)																		
	מלכים א	כב	נב	מלכים א	כב	נד	פרקי אליהו	מלכות אחזיה (ישראל)																		
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
