רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	אנגלית	יחידה (2)	אנגלית	פירוט (3)	אנגלית															
	בראשית	יב	י	בראשית	יב	י	אברהם	Avraham	ירידת אברם למצרים		הרעב בכנען והירידה למצרים	The Famine in Canaan and the Descent to Egypt															
	בראשית	יב	יא	בראשית	יב	כ	אברהם	Avraham	ירידת אברם למצרים		לקיחת שרי לבית פרעה	Sarai is Taken to Pharaoh's Palace															
	בראשית	יג	א	בראשית	יג	יח	אברהם	Avraham	פרידת לוט מאברם	Lot Separates from Avraham																	
	בראשית	יג	א	בראשית	יג	ד	אברהם	Avraham	פרידת לוט מאברם		חזרת אברם לארץ כנען	Avram Returns to Canaan															
	בראשית	יג	ה	בראשית	יג	יג	אברהם	Avraham	פרידת לוט מאברם		הפרידה	The Separation															
	בראשית	יג	יד	בראשית	יג	יח	אברהם	Avraham	פרידת לוט מאברם		הבטחת הארץ לאברם	God Promises Avram the Land of Canaan															
	בראשית	יד	א	בראשית	יד	כד	אברהם	Avraham	מלחמת המלכים	War of the Kings																	
	בראשית	יד	א	בראשית	יד	יב	אברהם	Avraham	מלחמת המלכים		המלחמה ולקיחת לוט בשבי	The War of the Kings and Lot's Captivity															
	בראשית	יד	יג	בראשית	יד	טז	אברהם	Avraham	מלחמת המלכים		נצחון אברם ושחרור לוט	Avraham's Victory and Release of Lot															
	בראשית	יד	יז	בראשית	יד	כד	אברהם	Avraham	מלחמת המלכים		מלכיצדק ומלך סדום	Malkitzedek and the King of Sodom															
	בראשית	טו	א	בראשית	טו	כא	אברהם	Avraham	ברית בין הבתרים	Covenant Between the Pieces																	
	בראשית	טו	א	בראשית	טו	ו	אברהם	Avraham	ברית בין הבתרים		הבטחת זרע לאברם	Avram is Promised a Child															
	בראשית	טו	ז	בראשית	טו	כא	אברהם	Avraham	ברית בין הבתרים		הברית	The Covenant															
	בראשית	טז	א	בראשית	טז	טז	אברהם	Avraham	לידת ישמעאל	The Birth of Yishmael
	בראשית	טז	א	בראשית	טז	ד	אברהם	Avraham	לידת ישמעאל		נתינת הגר לאברם	The Giving of Hagar to Avraham
	בראשית	טז	ה	בראשית	טז	ו	אברהם	Avraham	לידת ישמעאל		כעס שרי ובריחת הגר	Sarai is Harsh and Hagar Flees
	בראשית	טז	ז	בראשית	טז	טז	אברהם	Avraham	לידת ישמעאל		נבואת המלאך ולידת ישמעאל	The Angel's Prophecy and the Birth of Yishmael
	בראשית	יז	א	בראשית	יז	כז	אברהם	Avraham	ברית המילה	The Covenant of Circumcision																	
	בראשית	יז	א	בראשית	יז	ח	אברהם	Avraham	ברית המילה		שינוי השם לאברהם	Avram's Name is Changed to Avraham															
	בראשית	יז	ט	בראשית	יז	יד	אברהם	Avraham	ברית המילה		ציווי על המילה	God Commands Circumcision															
	בראשית	יז	טו	בראשית	יז	כב	אברהם	Avraham	ברית המילה		שינוי השם לשרה ובשורת הבן	Sarai's Name is Changed to Sarah and is Promised a Son															
	בראשית	יז	כג	בראשית	יז	כז	אברהם	Avraham	ברית המילה		קיום המילה	The Circumcision															
	בראשית	יח	א	בראשית	יט	לח	אברהם	Avraham	ביקור המלאכים והפיכת סדום	Avraham's Visitors and the Destruction of Sodom																	
	בראשית	יח	א	בראשית	יח	ח	אברהם	Avraham	ביקור המלאכים והפיכת סדום		המלאכים באוהל אברהם	The Messengers in Avraham's Tent															
	בראשית	יח	ט	בראשית	יח	טו	אברהם	Avraham	ביקור המלאכים והפיכת סדום		בשורת הבן וצחוק שרה	The Birth Announcement and Sarah's Laughter															
	בראשית	יח	טז	בראשית	יח	לג	אברהם	Avraham	ביקור המלאכים והפיכת סדום		תפילת אברהם על סדום	Avraham Prays for Sodom															
	בראשית	יט	א	בראשית	יט	ט	אברהם	Avraham	ביקור המלאכים והפיכת סדום		המלאכים בסדום	The Angels in Sodom															
	בראשית	יט	י	בראשית	יט	כג	אברהם	Avraham	ביקור המלאכים והפיכת סדום		הצלת לוט ומשפחתו	Lot and his Family are Rescued															
	בראשית	יט	כד	בראשית	יט	כט	אברהם	Avraham	ביקור המלאכים והפיכת סדום		הפיכת סדום ועמורה	The Destruction of Sodom and Amorah															
	בראשית	יט	ל	בראשית	יט	לח	אברהם	Avraham	ביקור המלאכים והפיכת סדום		מעשה בנות לוט	Lot's Daughters															
	בראשית	כ	א	בראשית	כ	יח	אברהם	Avraham	שרה בבית אבימלך	Sarah in Avimelekh's Palace																	
	בראשית	כ	א	בראשית	כ	ב	אברהם	Avraham	שרה בבית אבימלך		לקיחת שרה לאבימלך	Sarah is Taken to Avimelekh's Palace															
	בראשית	כ	ג	בראשית	כ	ח	אברהם	Avraham	שרה בבית אבימלך		אזהרת ה' לאבימלך בחלום	God warns Avimelekh in a Prophetic Dream															
	בראשית	כ	ט	בראשית	כ	יג	אברהם	Avraham	שרה בבית אבימלך		שיחת אבימלך ואברהם	Avimelekh and Avraham Speak															
	בראשית	כ	יד	בראשית	כ	יח	אברהם	Avraham	שרה בבית אבימלך		השבת שרה ותפילת אברהם	Sarah is Returned and Avraham Prays for Avimelekh															
	בראשית	כא	א	בראשית	כא	כא	אברהם	Avraham	לידת יצחק וגירוש ישמעאל	Yitzhak and Yishmael																	
	בראשית	כא	א	בראשית	כא	ח	אברהם	Avraham	לידת יצחק וגירוש ישמעאל		לידת יצחק	The Birth of Yitzhak															
	בראשית	כא	ט	בראשית	כא	טז	אברהם	Avraham	לידת יצחק וגירוש ישמעאל		גירוש הגר וישמעאל	Hagar and Yishmael are Banished															
	בראשית	כא	יז	בראשית	כא	כא	אברהם	Avraham	לידת יצחק וגירוש ישמעאל		התגלות המלאך להגר	Hagar's Revelation															
	בראשית	כא	כב	בראשית	כא	לד	אברהם	Avraham	ברית אברהם ואבימלך	Avraham and Avimelekh																	
	בראשית	כב	א	בראשית	כב	יט	אברהם	Avraham	עקדת יצחק	Akeidat Yitzhak																	
	בראשית	כב	א	בראשית	כב	יד	אברהם	Avraham	עקדת יצחק		העקדה	The Akeida - the Binding															
	בראשית	כב	טו	בראשית	כב	יט	אברהם	Avraham	עקדת יצחק		הברכה לאברהם	God Blesses Avraham															
	בראשית	כב	כ	בראשית	כב	כד	אברהם	Avraham	תולדות נחור אחי אברהם	"Descendants of Avraham's Brother, Nahor"																	
	בראשית	כג	א	בראשית	כג	כ	אברהם	Avraham	קניית מערת המכפלה	Purchase of the Makhpela Cave																	
	בראשית	כג	א	בראשית	כג	ב	אברהם	Avraham	קניית מערת המכפלה		מות שרה	Sarah's Death															
	בראשית	כג	ג	בראשית	כג	כ	אברהם	Avraham	קניית מערת המכפלה		קניית השדה והמערה	Avraham Purchases the Field and the Cave															
	בראשית	כד	א	בראשית	כד	סז	אברהם	Avraham	בחירת אשה ליצחק	Finding a Wife for Yitzhak																	
	בראשית	כד	א	בראשית	כד	י	אברהם	Avraham	בחירת אשה ליצחק		שליחות עבד אברהם	Avraham's Servant is Sent to Find a Wife															
	בראשית	כד	יא	בראשית	כד	יד	אברהם	Avraham	בחירת אשה ליצחק		תפילת העבד על הבאר	The Servant Prays by the Well															
	בראשית	כד	טו	בראשית	כד	כז	אברהם	Avraham	בחירת אשה ליצחק		פגישת העבד ורבקה	The Servant Meets Rivka															
	בראשית	כד	כח	בראשית	כד	לג	אברהם	Avraham	בחירת אשה ליצחק		הזמנת העבד לבית בתואל	The Servant is Invited to Betuel's Home															
	בראשית	כד	לד	בראשית	כד	מט	אברהם	Avraham	בחירת אשה ליצחק		העבד בבית בתואל	The Servant in the House of Betuel															
	בראשית	כד	נ	בראשית	כד	סא	אברהם	Avraham	בחירת אשה ליצחק		שילוח רבקה עם העבד	Rivka is Sent with the Servant															
	בראשית	כד	סב	בראשית	כד	סז	אברהם	Avraham	בחירת אשה ליצחק		פגישת יצחק ורבקה ונישואיהם	Yitzhak and Rivka Meet and are Married															
	בראשית	כה	א	בראשית	כה	יח	אברהם	Avraham	צאצאי אברהם ומותו	Avraham's Descendants and Death																	
	בראשית	כה	א	בראשית	כה	ד	אברהם	Avraham	צאצאי אברהם ומותו		בני אברהם וקטורה	Avraham and Keturah's Sons															
	בראשית	כה	ה	בראשית	כה	ו	אברהם	Avraham	צאצאי אברהם ומותו		שילוח בני הפילגשים	The Concubines' Sons are Sent Away															
	בראשית	כה	ז	בראשית	כה	יא	אברהם	Avraham	צאצאי אברהם ומותו		מות אברהם וקבורתו	Avraham's Death and Burial															
	בראשית	כה	יב	בראשית	כה	יח	אברהם	Avraham	צאצאי אברהם ומותו		תולדות ישמעאל	Yishmael's Descendants															
3	בראשית	כה	יט	בראשית	כח	ט	יצחק	Yitzhak		Yitzhak																	
	בראשית	כה	יט	בראשית	כה	לד	יצחק	Yitzhak	יעקב ועשו	Yaakov and Esav																	
	בראשית	כה	יט	בראשית	כה	כו	יצחק	Yitzhak	יעקב ועשו		לידת יעקב ועשו	Birth of Yaakov and Esav															
	בראשית	כה	כז	בראשית	כה	לד	יצחק	Yitzhak	יעקב ועשו		מכירת הבכורה ליעקב	Esav Sells the Birthright to Yaakov															
	בראשית	כו	א	בראשית	כו	לג	יצחק	Yitzhak	יצחק ואבימלך	Yitzhak and Avimelekh																	
	בראשית	כו	א	בראשית	כו	ה	יצחק	Yitzhak	יצחק ואבימלך		הבטחת הארץ והזרע	God Promises Yitzhak Land and Offspring															
	בראשית	כו	ו	בראשית	כו	יא	יצחק	Yitzhak	יצחק ואבימלך		יצחק ורבקה בגרר	Yitzhak and Rivka in Gerar															
	בראשית	כו	יב	בראשית	כו	יז	יצחק	Yitzhak	יצחק ואבימלך		התעשרות יצחק	Yitzhak's Success 															
	בראשית	כו	יח	בראשית	כו	כב	יצחק	Yitzhak	יצחק ואבימלך		הריב על בארות המים	The Quarrel over the Wells															
	בראשית	כו	כג	בראשית	כו	כה	יצחק	Yitzhak	יצחק ואבימלך		התגלות ה' בבאר שבע	God's Revelation to Yitzhak in Be'er Sheva															
