רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	יחידה (2)	פירוט (3)																
	דברים	יד	א	דברים	יד	ב	נאום המצוות	היבדלות מעבודה זרה ודרכיה	איסור גדידה וקרחה																
	דברים	יד	ג	דברים	יד	כא	נאום המצוות	היבדלות מעבודה זרה ודרכיה	בעלי החיים הטמאים והטהורים																
	דברים	יד	כב	דברים	טו	כג	נאום המצוות	מצוות חברתיות																	
	דברים	יד	כב	דברים	יד	כז	נאום המצוות	מצוות חברתיות	מעשר שני																
	דברים	יד	כח	דברים	יד	כט	נאום המצוות	מצוות חברתיות	מעשר עני																
	דברים	טו	א	דברים	טו	ו	נאום המצוות	מצוות חברתיות	שמיטת כספים																
	דברים	טו	ז	דברים	טו	יא	נאום המצוות	מצוות חברתיות	חובת ההלוואה לעני																
	דברים	טו	יב	דברים	טו	יח	נאום המצוות	מצוות חברתיות	עבד עברי																
	דברים	טו	יט	דברים	טו	כג	נאום המצוות	מצוות חברתיות	בכור בהמה																
	דברים	טז	א	דברים	טז	יז	נאום המצוות	שלש רגלים																	
	דברים	טז	א	דברים	טז	ח	נאום המצוות	שלש רגלים	חג הפסח																
	דברים	טז	ט	דברים	טז	יב	נאום המצוות	שלש רגלים	ספירת העומר וחג השבועות																
	דברים	טז	יג	דברים	טז	טו	נאום המצוות	שלש רגלים	חג הסוכות																
	דברים	טז	טז	דברים	טז	יז	נאום המצוות	שלש רגלים	מצוות עליה לרגל																
	דברים	טז	יח	דברים	יט	כא	נאום המצוות	מצוות משפט והנהגה																	
	דברים	טז	יח	דברים	טז	כ	נאום המצוות	מצוות משפט והנהגה	מינוי שופטים ושוטרים																
	דברים	טז	כא	דברים	טז	כב	נאום המצוות	מצוות משפט והנהגה	איסור אשרה ומצבה																
	דברים	יז	א	דברים	יז	א	נאום המצוות	מצוות משפט והנהגה	איסור זביחת בעל מום																
	דברים	יז	ב	דברים	יז	ז	נאום המצוות	מצוות משפט והנהגה	משפט עובדי עבודה זרה																
	דברים	יז	ח	דברים	יז	יג	נאום המצוות	מצוות משפט והנהגה	חובת ציות לבית הדין הגדול																
	דברים	יז	יד	דברים	יז	כ	נאום המצוות	מצוות משפט והנהגה	מינוי מלך ומצוות המלך																
	דברים	יח	א	דברים	יח	ח	נאום המצוות	מצוות משפט והנהגה	משפט הכהנים והלויים																
